text	class	cV	cR1	cR2	V	R1	R2
В линейном приводе для устройств натяжения ремня в удерживающих системах транспортных средств используют блок поршень-цилиндр, поршень которого нагружается газами под давлением, производимыми пиротехническим газогенератором 26	0						
Пакет Т формируют круглым, муфтами против направления действия газовоздушного потока	0						
Состав: 53% вискоза, 10% хлопок, 35% полиэстер, 2% эластан.	0						
Сердце оставалось таким же сильным, душа такой же целостной.	1	7:17	0:6	18:34	41:41	36:40	41:59
Он не пытался сделать вид, что читает газету или книгу	0						
Природа была велика, подвижна, реальна, жизнь человека - печальна и радостна.	1	8:12	0:7	13:38	57:57	40:54	57:76
«Все хорошее — в свое время и на своем месте; а не во время и самое хорошее вредно. Такое-то человеческое добро: то, что вчера нас спасало, сегодня губит».	0						
В силу (49:Е) из п. 49.3.3 (примененного к А, Н вместо Г), из первого следует несущественность А, а из второго — несущественность Н.	1	70:77	59:69	78:96	113:113	100:110	113:131
Осуществление Декларации о предоставлении независимости колониальным странам и народам специализированными учреждениями и международными организациями, связанными с Организацией Объединенных Наций	0						
Множество, не являющееся конечным, мы будем называть бесконечным, а его кардинальное число — бесконечным или трансфинитным кардинальным числом.	1	44:52	0:33	53:64	93:93	68:90	93:142
Знающие Путина российские журналисты говорят, что он очень рад тому, что США завязли в Ираке и Афганистане	0						
Пороховой состав включает, мас.%: гранулы баллиститного твердого ракетного топлива 48 - 74; приборное масло 1 - 2; зерненый пироксилиновый порох, содержащий мас.%: спиртоэфирная смесь 1,0 - 2,5; дифениламин 1 - 2; вода 0,5 - 1,5; пироксилин - остальное	0						
Я очень люблю его, а он меня.	1	8:13	0:1	14:17	24:24	21:23	24:28
ещё немного и я буду знать все о своих болезнях... ещё один врач.	0						
Он придумал мир, в нем нас с рассвета	0						
В первом случае мы будем говорить просто об изоморфизме, а во втором — об инверсном изоморфизме тел АГ и АГ.	1	25:33	0:15	34:55	71:71	59:68	71:107
А тут под боком у следователей живет дизайнер России 1, любовно нарисовавший банкноту с Гитлером, продемонстрированную в прайм-тайм.	0						
И вновь дон Педро атаковал, ложный посыл вниз и удар вверх.	0						
Так же на каждое измерение есть допуск, минимально — 1 км/ч.	0						
Сущность изобретения: в предварительно напряженной колонне, выполненной из заполненной бетоном металлической трубы с раскрытыми прорезями, последние расположены на концевых участках, выполненных с переменным по высоте поперечным сечением, уменьшающимся к концам колонны	0						
Тогда смерть осознается как совершенно иллюзорная — настолько же иллюзорная, как и форма, с которой ты отождествился в качестве самого себя.	0						
Birch®, Carta®, Mythos®, Quake® и Tekton® являются зарегистрированными товарными знаками, а Adobe Jenson™, технология Adobe Brilliant Screens™ и IntelliSelect™ — товарными знаками компании Adobe Systems или ее дочерних компаний, причем последние могут быть зарегистрированы в отдельных странах.	1	42:50	0:41	51:88	162:162	92:159	162:227
Рост и изменения иногда могут быть болезненными, но самое мучительное в жизни - оставаться не на своем месте.	0						
Так что через несколько дней Хряк, понятное дело, нервничал, пытаясь одновременно отдать честь, предъявить удостоверение личности и увольнительную, кося при этом одним глазом на Нупа, а другим – на вещмешок с радиолампами.	1	148:152	162:174	175:182	195:195	186:192	195:221
Доля его активов в суммарных активах банковской системы республики составляет около 35%, собственного капитала (в совокупном собственном капитале банков) - 55%.	1	67:77	5:16	78:87	156:156	89:153	156:159
Правда, он занимает ее один, а все другие полны народу; но как выйти из такого положения — неизвестно; разве что повезти с собой в Лондон людей, стремящихся уехать в обратном направлении.	0						
Валютой отчетности для Группы является доллар США, функциональной валютой - российский рубль.	1	30:38	0:18	39:49	76:76	51:73	76:92
экономисты дают на этот вопрос очень простой ответ-бо"льшая часть денег и ресурсов находиться в руках небольшой части богатых людей,которые владеют крупнейшими банками и транснациональными корпорациями,которые заинтересованы в еще большей прибыли.	0						
И мы прогнозируем увеличение товарооборота на 70 процентов, а по информации российской стороны – на 40 процентов.	1	5:17	43:58		97:97	97:112	
Если чувства, то лишь лавиной,	0						
Не вызывает удивления и то, что эти пять стран входят в число восьми стран региона, в которых охват полным средним образованием составляет менее 50 процентов, а четыре – в число восьми стран, уровень охвата дошкольным образованием в которых ниже 30 процентов (глава 3).	1	47:53	36:40	54:157	170:170	161:167	170:268
Из стен выступали полки, пока они были пустыми; к середине руля был приделан компас, а к полу – жестяная зеленая коробка передатчика с телефонной трубкой.	1	68:76	48:63	77:83	96:96	87:93	96:153
Так что у меня очень позитивные ожидания в связи с председательством Украины в 2013 году, но в то же время, я остаюсь реалистом	0						
Печать на бумаге формата A4 выполняется со скоростью до 38 стр./мин., а на бумаге формата Letter — до 40 стр./мин.	1	28:39	7:27	53:68	99:99	72:96	99:113
Она изображается с двумя вазами: из одной она изливает воду, символ Света, на себя, а из другой -на землю.	1	46:54	33:41	75:82	97:97	86:95	97:105
В браузерах с поддержкой обновляемой объектной модели функция обратного вызова JavaScript может обновить отдельные части старой страницы, не требуя ее полной перезагрузки	0						
Заседания Совета директоров проходят с периодичностью не реже чем один раз в шесть недель, однако большая часть заседаний проводится в заочной форме	0						
Вот лишь несколько цитат: Россия 'заработала достаточно нефтяных денег:, чтобы поддерживать дружественных ей диктаторов' и 'купить бывшего канцлера Германии', она управляется 'кликой бывших агентов КГБ' - так и видишь, как г-н Хайятт буквально брызжет слюной, когда пишет эти строки	0						
но бесплатные столовые работают, покушать есть где даже просто бомжам, беженцев расселяют.	0						
Председателем круглого стола A был заместитель Председателя Совета Жан-Марк Хошайт (Люксембург), а координатором — министр экономики и финансов Нигера Али Махаман Ламин Зейн.	1	31:34	0:30	67:82	115:115	99:112	115:173
Наша эволюция шла от мозга рептилии к лимбической системе, а от лимбической системы — к коре головного мозга.	1	14:17	18:35	36:57	86:86	61:83	86:108
Быстрее всего восстанавливаются трицепсы, медленнее всего - мышцы спины.	1	14:31	0:13	32:40	60:60	42:57	60:71
Рынок не смог вместить этого количества; чтобы избежать дальнейшего обострения ситуации, вынужден был вмешаться Английский Банк и скупить излишки.	0						
Размеренный ритм успокаивал, к тому же они говорили о самых обычных вещах: о работе, о мировоззрении… Джун была буддисткой, а Лотти – язычницей.	1	107:111	102:106	112:122	134:134	126:131	134:143
Стабильный график, карьерный рост, обучение за счет компании, стабильный доход, оформлении по ТК.	0						
При этом воздух на выдувание подают через 0,4 - 1,1 с после закрытия формы, а охлаждение на столике осуществляют в течение 1,8 - 4,0 с	0						
Экспорт товаров и услуг по сравнению с I кварталом 2005 г. возрос на 10,9 млрд. ф. стг. (на 14,4%), импорт — на 14 млрд. ф. стг. (на 16,1%).	1	59:65	0:23	66:98	109:109	100:106	109:139
Убедившись вскоре, что мне сказали истинную правду и что старуха вдобавок чуть с ума не своротила от моего неожиданного приезда, я стал ее успокаивать: я, мол, пойду прогуляюсь, а она тем часом пускай приготовит мне уголок в гостиной, где бы мне поужинать, да спальню, где я мог бы выспаться; ни мести, ни пыль вытирать не нужно, - был бы только жаркий огонь и сухие простыни.	0						
В настоящее время один проект, начатый в предыдущем отчетном периоде, находится на заключительных этапах осуществления, и два новых — на стадии разработки.	1	70:79	18:68	80:118	134:134	122:131	134:154
И живут они не 20 лет, как заложено природой, а в лучшем случае, 2-3 года в голоде, холоде и страхе, гонимые всеми, кто сильнее.	0						
Индекс промышленного производства за январь-февраль 2008 г. составил 106,0%, инвестиций в основной капитал - 120,2% и оборота розничной торговли - 116,3%.	1	60:68	7:33	69:75	109:109 147:147	77:106 118:144	109:115 147:153
Маша получила 6 лайков за фото, а Наташа 72 лайка.	1	5:13	0:4	14:30	41:41	34:40	41:49
Он не знает таких слов как усталость и сдаться, он всегда делает всё возможное для победы!	0						
Сущность изобретения: полотно пильного диска устанавливается на планшайбе и выправляется правильными роликами, которые перемещаются по диску в радиальном направлении	0						
Среди заказчиков преимущественно госкомпании и ОАО «Рособоронэкспорт», а также несколько крупных иностранных перевозчиков	0						
Не давите пальцами на экран монитора в течение долгого времени, так как это может вызвать остаточное изображение	0						
Vega Refinery специализируется на производстве нефтехимической продукции (полимеров и растворителей), а также битумов	0						
Списание дебиторской задолженности по финансовому лизингу может произойти только после получения одобрения со стороны Совета Директоров, а в некоторых случаях - при наличии соответствующего судебного решения.	1	58:63	74:135		161:161	161:207	
По венам течет кров,по ручью вода,	1	9:14	0:8	15:19	29:29	20:28	29:33
В соответствии с установившейся практикой Комитета на выступления в ходе общих прений по каждому пункту или группе пунктов повестки дня отводится до 7 минут, а на выступления от имени группы делегаций — до 15 минут.	1	136:145	51:135	146:156	203:203	160:200	203:214
Игорь Зюзин, глава и председатель совета директоров компании Мечел, заявил, что компания продолжает рассматривать возможность публичного размещения Мечел-Майнинга	0						
Странное совпадение: только начали выполнять минские договоренности и бац: резонансное убийство.	0						
В ходе модернизации НПЗ «Петротел-ЛУКОЙЛ» были построены три новых объекта: установка гидроочистки бензина, установка изомеризации и установка по производству водорода	0						
выражает признательность Генеральному секретарю за его неустанные усилия по укреплению сотрудничества и координации между Организацией Объединенных Наций и другими организациями системы Организации Объединенных Наций и Организацией Исламская конференция и ее вспомогательными органами и специализированными и ассоциированными учреждениями в целях удовлетворения взаимных интересов обеих организаций в политической, экономической, социальной, культурной, гуманитарной и научной областях	0						
Данные содержат версии программного обеспечения, имена путей, содержимое файлов исходного кода, сборки и модули, на которые осуществляются ссылки, параметры компилятора, выходные данные компилятора и другие дополнительные сведения, указываемые в следующих запросах	0						
Получив требуемое большинство в две трети голосов, Мексика избирается членом Экономического и Социального Совета на трехлетний срок, начинающийся 1 января 2000 года	0						
Магазинчик был маленьким, а мясник и его супруга очень большими, поэтому, когда к ним прибавились мы с женой, в лавке стало совсем тесно.	1	11:14	0:10	15:24	49:49	28:48	49:63
Бельчинская Л.И., Тарасевич Ю.И., Ткачева О.А., Мезенцева В.Т., Бондаренко С.В., Краснобоярова Л.В	0						
Другими словами, предположим, что уравнения (11.1) верны, а (11.2) и (11.3) определяют соотношения между измеряемыми величинами; верно ли, что	0						
Если новый пароль не будет указан, ваша УПАТС не сможет подключиться к Skype при следующей регистрации, что приведет к невозможности совершать звонки	0						
Из 10 миллионов армян, разбросанных по всему миру, лишь 3 миллиона живут на исторической родине; более 2 миллионов проживают в России, и еще 1,5 миллиона - в Соединенных Штатах.	1	115:124	97:114	125:133	156:156	137:153	156:176
Изобретение относится к медицине, а именно к хирургии, и может применяться при восстановительно-пластических операциях на трубчатых органах: гортани, трахеи, бронхах, пищеводе, желчных и мочевых путях	0						
Лицо у нее было бледное и широкое, голос – густой.	1	11:15	0:10	16:33	43:43	35:40	43:49
Уже почти неделю я смотрю на то, как умирает мой родной брат, сразу просыпается сердце, тепло бежит ручем, пытаешься помочь, но все бесполезно, он медленно теряет свои силы, а я все сильнее не хочу его отпускать...все решает время	0						
Кольцевой выступ в поперечном сечении представляет собой усеченный конус, меньшим основанием которого образовано дроссельное отверстие, диаметр которого выбран из соотношения: dд.о./dр.т.>3, где dд.о. - диаметр дросселирующего отверстия; dр.т. - диаметр шарика рабочего тела	0						
Судья посмотрела на свои часы, затем – на меня.	1	6:16	17:29		39:39	39:46	
Служанки мечтают о доброй фее, принцессы — о прекрасном принце, королевы не мечтают, а действуют.	1	9:16	0:8	17:29	43:43	31:40	43:62
Распределение и прочее использование прибыли производится на основании данных бухгалтерской отчетности Компании, составленной в соответствии с российскими правилами бухгалтерского учета	0						
призывает региональные рыбохозяйственные организации, которые компетентны заниматься сохранением запасов далеко мигрирующих рыб и управлением ими и еще не ввели эффективных мер по сохранению и управлению, соответствующих самой достоверной имеющейся научной информации, касающейся сохранения запасов, подведомственных этим организациям, и управления этими запасами, в срочном порядке ввести такие меры	0						
И свою судьбу ты узнаешь по голосу, эй - эй, добрые новости, плохие новости, не спи, а сосчитай до десяти, это просто жизнь пишет разные повести...	0						
Потому что Ты научил меня тому, что прощение является высшим уровнем прочности, а месть - высшим уровнем слабости.	1	45:53	36:44	54:78	90:90	82:87	90:113
Следует ли нам клеймить китайского диктатора Ху Цзиньтао (Hu Jintao) с тем же пылом, что и Джорджа Буша	0						
А потом еще и говорят, мол, чужое мнение надо уважать, а свое держать при себе.	1	41:45	28:40	46:53	62:62	57:61	62:78
И также никогда не задавался вопросом: почему мужчины думают головой, а женщины — сердцем.	1	54:60	46:53	61:68	82:82	72:79	82:89
С таким адресом им стало еще труднее находить работу, и они попали в лапы людей, которые за гроши тянут из рабочих последние соки, не считаясь с тем, мужчина это, женщина или ребенок.	0						
В начале кампании многие наблюдатели предсказывали, что Ирак будет основным предметом обсуждения в 2008 году	0						
Декоративная подшивка, мережки и т.д. на тонком и среднем материале с полотняным переплетением	0						
Однако инвестиционные расходы компаний уменьшились на 6.1%, импорт - на 7%.	1	39:50	7:38	51:58	69:69	60:66	69:74
Хотя по сути ты будешь просто нормальным человеком, а они дерьмом.	1	16:22	13:15	23:50	58:58	54:57	58:65
Я и так этого года ждала наверное 9 лет а мама 11.	1	19:24	0:1	34:35	47:47	42:46	47:49
Ей нравится все, что ласкает ее органы чувств, будь то завораживающие звуки музыки, буйство красок осеннего пейзажа, тонкий аромат духов или ощущение теплого песка, сыплющегося сквозь пальцы.	0						
Время, когда я не хожу на нелюбимую работу, не провожу на ней бОльшую часть своей жизни.	0						
Целью изобретения является повышение эффективности, безопасности полета и маневренности	0						
Упругий элемент одним концом закреплен на шпинделе, а другим концом - на насадке.	1	29:38	16:28	39:50	70:70	54:67	70:80
